episode: 1/10000, score: 93, e: 0.43, -1
episode: 2/10000, score: 124, e: 0.12, -2
episode: 3/10000, score: 124, e: 0.036, -3
episode: 4/10000, score: 124, e: 0.01, -4
episode: 5/10000, score: 124, e: 0.0099, -5
episode: 6/10000, score: 124, e: 0.0099, -6
episode: 7/10000, score: 124, e: 0.0099, -5
episode: 8/10000, score: 124, e: 0.0099, -6
episode: 9/10000, score: 124, e: 0.0099, -7
episode: 10/10000, score: 124, e: 0.0099, -8
episode: 11/10000, score: 124, e: 0.0099, -7
episode: 12/10000, score: 124, e: 0.0099, -8
episode: 13/10000, score: 124, e: 0.0099, -9
episode: 14/10000, score: 124, e: 0.0099, -8
episode: 15/10000, score: 124, e: 0.0099, -9
episode: 16/10000, score: 124, e: 0.0099, -10
episode: 17/10000, score: 124, e: 0.0099, -11
episode: 18/10000, score: 124, e: 0.0099, -12
episode: 19/10000, score: 124, e: 0.0099, -13
episode: 20/10000, score: 124, e: 0.0099, -12
episode: 21/10000, score: 124, e: 0.0099, -11
episode: 22/10000, score: 124, e: 0.0099, -12
episode: 23/10000, score: 124, e: 0.0099, -13
episode: 24/10000, score: 124, e: 0.0099, -14
episode: 25/10000, score: 124, e: 0.0099, -15
episode: 26/10000, score: 124, e: 0.0099, -14
episode: 27/10000, score: 124, e: 0.0099, -13
episode: 28/10000, score: 124, e: 0.0099, -14
episode: 29/10000, score: 124, e: 0.0099, -15
episode: 30/10000, score: 124, e: 0.0099, -16
episode: 31/10000, score: 124, e: 0.0099, -17
episode: 32/10000, score: 124, e: 0.0099, -16
episode: 33/10000, score: 124, e: 0.0099, -15
episode: 34/10000, score: 124, e: 0.0099, -16
episode: 35/10000, score: 124, e: 0.0099, -17
episode: 36/10000, score: 124, e: 0.0099, -18
episode: 37/10000, score: 124, e: 0.0099, -19
episode: 38/10000, score: 124, e: 0.0099, -20
episode: 39/10000, score: 124, e: 0.0099, -19
episode: 40/10000, score: 124, e: 0.0099, -20
episode: 41/10000, score: 124, e: 0.0099, -21
episode: 42/10000, score: 124, e: 0.0099, -22
episode: 43/10000, score: 124, e: 0.0099, -21
episode: 44/10000, score: 124, e: 0.0099, -22
episode: 45/10000, score: 124, e: 0.0099, -21
episode: 46/10000, score: 124, e: 0.0099, -22
episode: 47/10000, score: 124, e: 0.0099, -23
episode: 48/10000, score: 124, e: 0.0099, -24
episode: 49/10000, score: 124, e: 0.0099, -25
episode: 50/10000, score: 124, e: 0.0099, -24
episode: 51/10000, score: 124, e: 0.0099, -23
episode: 52/10000, score: 124, e: 0.0099, -24
episode: 53/10000, score: 124, e: 0.0099, -25
episode: 54/10000, score: 124, e: 0.0099, -26
episode: 55/10000, score: 124, e: 0.0099, -27
episode: 56/10000, score: 124, e: 0.0099, -26
episode: 57/10000, score: 124, e: 0.0099, -27
episode: 58/10000, score: 124, e: 0.0099, -28
episode: 59/10000, score: 124, e: 0.0099, -29
episode: 60/10000, score: 124, e: 0.0099, -30
episode: 61/10000, score: 124, e: 0.0099, -31
episode: 62/10000, score: 124, e: 0.0099, -30
episode: 63/10000, score: 124, e: 0.0099, -31
episode: 64/10000, score: 124, e: 0.0099, -32
episode: 65/10000, score: 124, e: 0.0099, -33
episode: 66/10000, score: 124, e: 0.0099, -34
episode: 67/10000, score: 124, e: 0.0099, -33
episode: 68/10000, score: 124, e: 0.0099, -32
episode: 69/10000, score: 124, e: 0.0099, -33
episode: 70/10000, score: 124, e: 0.0099, -34
episode: 71/10000, score: 124, e: 0.0099, -35
episode: 72/10000, score: 124, e: 0.0099, -36
episode: 73/10000, score: 124, e: 0.0099, -35
episode: 74/10000, score: 124, e: 0.0099, -34
episode: 75/10000, score: 124, e: 0.0099, -35
episode: 76/10000, score: 124, e: 0.0099, -36
episode: 77/10000, score: 124, e: 0.0099, -37
episode: 78/10000, score: 124, e: 0.0099, -38
episode: 79/10000, score: 124, e: 0.0099, -39
episode: 80/10000, score: 124, e: 0.0099, -38
episode: 81/10000, score: 124, e: 0.0099, -39
episode: 82/10000, score: 124, e: 0.0099, -40
episode: 83/10000, score: 124, e: 0.0099, -41
episode: 84/10000, score: 124, e: 0.0099, -40
episode: 85/10000, score: 124, e: 0.0099, -41
episode: 86/10000, score: 124, e: 0.0099, -40
episode: 87/10000, score: 124, e: 0.0099, -41
episode: 88/10000, score: 124, e: 0.0099, -42
episode: 89/10000, score: 124, e: 0.0099, -43
episode: 90/10000, score: 124, e: 0.0099, -42
episode: 91/10000, score: 124, e: 0.0099, -43
episode: 92/10000, score: 124, e: 0.0099, -44
episode: 93/10000, score: 124, e: 0.0099, -45
episode: 94/10000, score: 124, e: 0.0099, -46
episode: 95/10000, score: 124, e: 0.0099, -47
episode: 96/10000, score: 124, e: 0.0099, -46
episode: 97/10000, score: 124, e: 0.0099, -45
episode: 98/10000, score: 124, e: 0.0099, -46
episode: 99/10000, score: 124, e: 0.0099, -47
episode: 100/10000, score: 124, e: 0.0099, -48
episode: 101/10000, score: 124, e: 0.0099, -49
episode: 102/10000, score: 124, e: 0.0099, -48
episode: 103/10000, score: 124, e: 0.0099, -47
episode: 104/10000, score: 124, e: 0.0099, -48
episode: 105/10000, score: 124, e: 0.0099, -49
episode: 106/10000, score: 124, e: 0.0099, -50
episode: 107/10000, score: 124, e: 0.0099, -51
episode: 108/10000, score: 124, e: 0.0099, -50
episode: 109/10000, score: 124, e: 0.0099, -49
episode: 110/10000, score: 124, e: 0.0099, -50
episode: 111/10000, score: 124, e: 0.0099, -51
episode: 112/10000, score: 124, e: 0.0099, -52
episode: 113/10000, score: 124, e: 0.0099, -53
episode: 114/10000, score: 124, e: 0.0099, -52
episode: 115/10000, score: 124, e: 0.0099, -51
episode: 116/10000, score: 124, e: 0.0099, -52
episode: 117/10000, score: 124, e: 0.0099, -53
episode: 118/10000, score: 124, e: 0.0099, -54
episode: 119/10000, score: 124, e: 0.0099, -55
episode: 120/10000, score: 124, e: 0.0099, -56
episode: 121/10000, score: 124, e: 0.0099, -55
episode: 122/10000, score: 124, e: 0.0099, -56
episode: 123/10000, score: 124, e: 0.0099, -57
episode: 124/10000, score: 124, e: 0.0099, -58
episode: 125/10000, score: 250, e: 0.0099, -59
episode: 126/10000, score: 124, e: 0.0099, -60
episode: 127/10000, score: 124, e: 0.0099, -61
episode: 128/10000, score: 124, e: 0.0099, -62
episode: 129/10000, score: 124, e: 0.0099, -63
episode: 130/10000, score: 124, e: 0.0099, -62
episode: 131/10000, score: 124, e: 0.0099, -61
episode: 132/10000, score: 124, e: 0.0099, -62
